Week,Position,Player,Salary,Own%,FPTS
Week 1,QB,Josh Allen,$8000,9.3%,32.18
,RB,Devon Achane,$6800,14.1%,23.0
,RB,Joe Mixon,$6600,8.5%,29.8
,WR,Josh Reynolds,$4200,0.5%,9.5
,WR,Tyreek Hill,$8700,29.2%,29.0
,WR,Alec Pierce,$4000,0.8%,24.5
,TE,Juwan Johnson,$3700,0.8%,10.6
,FLEX,Rashid Shaheed,$4400,2.4%,16.3
,D/ST,Vikings,$3300,3.3%,22.0
Week 2,QB,Daniel Jones,$5300,6.9%,18.32
,RB,Alvin Kamara,$7000,4.3%,47.0
,RB,Jordan Mason,$5200,50.1%,20.4
,WR,Marvin Harrison Jr.,$6900,3.6%,32.0
,WR,Chris Godwin,$6000,23.2%,27.7
,WR,Malik Nabers,$5900,17.6%,31.7
,TE,Trey McBride,$6000,6.6%,18.7
,FLEX,JK Dobbins,$5400,27.5%,23.1
,D/ST,Cardinals,$2300,5.8%,11.0
Week 3,QB,Sam Darnold,$5500,6.4%,23.24
,RB,Kyren Williams,$7100,2.8%,31.6
,RB,Zach Charbonnet,$6000,21.9%,25.7
,WR,Jauan Jennings,$4100,14.3%,49.5
,WR,Diontae Johnson,$4900,7.3%,29.2
,WR,Justin Jefferson,$8600,8.5%,20.1
,TE,Dallas Goedert,$4600,5.8%,34.0
,FLEX,Aaron Jones,$5900,3.1%,28.8
,D/ST,Buccaneers,$3000,15.8%,2.0
Week 4,QB,Jordan Love,$6000,2.1%,34.16
,RB,Aaron Jones,$6400,18.9%,17.9
,RB,Zack Moss,$5900,11.0%,17.8
,WR,Nico Collins,$7200,35.6%,36.1
,WR,Jayden Reed,$6000,6.7%,30.1
,WR,Diontae Johnson,$5600,30.3%,21.3
,TE,Tucker Kraft,$3000,2.3%,21.3
,FLEX,Brian Robinson Jr.,$6100,23.5%,23.3
,D/ST,49ers,$3800,3.3%,22.0
Week 5,QB,Lamar Jackson,$7500,6.8%,37.42
,RB,Chuba Hubbard,$6100,18.8%,18.5
,RB,D'Andre Swift,$5700,17.9%,20.0
,WR,Ja'Marr Chase,$8000,11.7%,44.3
,WR,Terry McLaurin,$6100,8.9%,17.4
,WR,Tee Higgins,$6000,8.7%,29.3
,TE,Tucker Kraft,$3500,30.8%,24.8
,FLEX,Darius Slayton,$3900,4.6%,29.2
,D/ST,Broncos,$2900,35.0%,16.0
Week 6,QB,Baker Mayfield,$6500,3.4%,31.9
,RB,Najee Harris,$5800,6.2%,23.2
,RB,Bucky Irving,$5400,52.8%,18.5
,WR,Chris Godwin,$6900,9.3%,38.5
,WR,Zay Flowers,$6500,15.8%,25.4
,WR,Tank Dell,$6200,9.1%,18.7
,TE,Cade Otton,$3500,18.3%,9.5
,FLEX,Brian Robinson,$6600,31.2%,25.5
,D/ST,Buccaneers,$2600,29.3%,17.0
Week 7,QB,Sam Darnold,$6200,11.5%,17.26
,RB,Kareem Hunt,$6000,13.7%,22.3
